iter	Passed	Remaining
0	156	78275
1	167	41794
2	179	29664
3	190	23661
4	201	19934
5	211	17408
6	223	15728
7	234	14442
8	246	13468
9	259	12705
10	269	11990
11	280	11387
12	290	10895
13	301	10454
14	311	10079
15	323	9779
16	334	9500
17	344	9233
18	355	9012
19	366	8804
20	377	8610
21	386	8405
22	396	8230
23	407	8091
24	418	7959
25	429	7821
26	440	7711
27	451	7619
28	462	7511
29	473	7413
30	484	7327
31	495	7247
32	505	7160
33	517	7086
34	527	7010
35	538	6940
36	549	6878
37	560	6816
38	572	6766
39	584	6719
40	595	6667
41	606	6618
42	617	6563
43	627	6507
44	639	6465
45	650	6424
46	661	6374
47	671	6325
48	682	6280
49	693	6238
50	703	6197
51	715	6166
52	727	6131
53	737	6091
54	748	6057
55	760	6027
56	770	5990
57	783	5968
58	793	5931
59	804	5900
60	815	5865
61	825	5832
62	837	5812
63	849	5784
64	860	5756
65	871	5729
66	882	5704
67	893	5673
68	904	5647
69	914	5615
70	923	5578
71	934	5553
72	945	5531
73	956	5506
74	966	5479
75	977	5452
76	989	5433
77	998	5403
78	1008	5376
79	1019	5351
80	1029	5326
81	1041	5310
82	1057	5311
83	1069	5297
84	1082	5283
85	1093	5262
86	1105	5248
87	1116	5226
88	1127	5206
89	1139	5190
90	1149	5168
91	1161	5148
92	1172	5130
93	1183	5111
94	1193	5089
95	1204	5068
96	1213	5043
97	1225	5026
98	1237	5012
99	1248	4994
100	1259	4974
101	1271	4961
102	1282	4942
103	1293	4925
104	1304	4907
105	1315	4888
106	1326	4871
107	1336	4850
108	1346	4828
109	1356	4808
110	1367	4790
111	1376	4769
112	1386	4749
113	1396	4728
114	1406	4709
115	1417	4691
116	1427	4673
117	1437	4653
118	1448	4638
119	1459	4622
120	1469	4601
121	1479	4583
122	1489	4566
123	1499	4547
124	1509	4527
125	1520	4512
126	1531	4496
127	1540	4478
128	1550	4460
129	1561	4443
130	1572	4430
131	1582	4412
132	1592	4393
133	1602	4377
134	1614	4364
135	1625	4349
136	1635	4333
137	1645	4317
138	1656	4302
139	1667	4286
140	1677	4271
141	1687	4254
142	1698	4239
143	1709	4225
144	1719	4208
145	1728	4191
146	1739	4176
147	1749	4160
148	1760	4146
149	1770	4131
150	1780	4115
151	1791	4100
152	1801	4085
153	1811	4069
154	1821	4054
155	1831	4039
156	1844	4028
157	1854	4014
158	1865	4000
159	1878	3992
160	1889	3978
161	1903	3970
162	1914	3958
163	1925	3945
164	1935	3929
165	1945	3915
166	1955	3899
167	1966	3886
168	1977	3873
169	1987	3858
170	1997	3843
171	2007	3828
172	2017	3813
173	2027	3798
174	2038	3786
175	2050	3773
176	2059	3758
177	2072	3749
178	2085	3739
179	2095	3725
180	2105	3711
181	2116	3697
182	2126	3683
183	2137	3670
184	2147	3655
185	2159	3644
186	2170	3632
187	2178	3616
188	2188	3601
189	2199	3589
190	2210	3575
191	2220	3561
192	2229	3546
193	2239	3532
194	2250	3520
195	2262	3509
196	2273	3496
197	2284	3483
198	2295	3472
199	2307	3461
200	2318	3448
201	2328	3435
202	2340	3423
203	2350	3410
204	2360	3397
205	2372	3385
206	2384	3375
207	2394	3361
208	2407	3352
209	2420	3342
210	2431	3329
211	2442	3317
212	2454	3306
213	2465	3294
214	2476	3282
215	2486	3268
216	2497	3257
217	2508	3245
218	2520	3233
219	2531	3221
220	2542	3209
221	2552	3196
222	2562	3183
223	2573	3170
224	2584	3158
225	2593	3144
226	2605	3133
227	2616	3121
228	2626	3108
229	2636	3095
230	2647	3083
231	2659	3072
232	2669	3059
233	2680	3046
234	2691	3034
235	2701	3021
236	2711	3009
237	2721	2995
238	2732	2983
239	2742	2971
240	2753	2959
241	2764	2946
242	2774	2934
243	2783	2920
244	2794	2908
245	2803	2894
246	2814	2882
247	2826	2872
248	2836	2859
249	2846	2846
250	2859	2836
251	2869	2823
252	2880	2812
253	2892	2801
254	2903	2789
255	2915	2778
256	2927	2768
257	2939	2757
258	2950	2745
259	2962	2735
260	2975	2724
261	2986	2713
262	2998	2701
263	3011	2691
