iter	Logloss
0	0.6903078413
1	0.6873956505
2	0.6847066973
3	0.6824302854
4	0.680060142
5	0.6779973134
6	0.6764390224
7	0.6745351319
8	0.67298439
9	0.6714565559
10	0.6699858411
11	0.6686304236
12	0.6674549073
13	0.6665265737
14	0.6657323081
15	0.6649950372
16	0.6642088454
17	0.6634674282
18	0.6626939732
19	0.6620766299
20	0.6614306994
21	0.660917093
22	0.6602798349
23	0.6597470132
24	0.6592146328
25	0.6587775546
26	0.6582623508
27	0.6579184202
28	0.6574249162
29	0.6571032302
30	0.6566474466
31	0.6562184633
32	0.6560912992
33	0.6560119705
34	0.6556497352
35	0.6554460192
36	0.6551423574
37	0.6547108401
38	0.654458609
39	0.6541660604
40	0.6538159509
41	0.6534603716
42	0.6532908754
43	0.6532353992
44	0.6527300984
45	0.6525759688
46	0.6520548995
47	0.6518645643
48	0.6517516002
49	0.6515329745
50	0.6513369271
51	0.6511997616
52	0.6510245543
53	0.6506957622
54	0.650537001
55	0.650271765
56	0.6500647006
57	0.6498698133
58	0.6497341745
59	0.6495637455
60	0.649304159
61	0.6491966838
62	0.6489392674
63	0.6487585955
64	0.6484332038
65	0.6481503407
66	0.6479421676
67	0.6477659192
68	0.6476713183
69	0.6474158167
70	0.6472591238
71	0.6472327285
72	0.6470289053
73	0.6468839854
74	0.646655475
75	0.6466143362
76	0.646402146
77	0.6462722364
78	0.6462628118
79	0.6461070224
80	0.6460039935
81	0.6459131567
82	0.6458801578
83	0.6456596456
84	0.6455485194
85	0.6454130205
86	0.6452326685
87	0.6451030466
88	0.6450612821
89	0.6449129632
90	0.6448883343
91	0.6448403289
92	0.644828793
93	0.6447572899
94	0.6446350293
95	0.6445711875
96	0.6444846391
97	0.6443430929
98	0.6443032765
99	0.6441310271
100	0.6439145951
101	0.6438497544
102	0.6438430989
103	0.6437314937
104	0.6435140894
105	0.643323358
106	0.6432686728
107	0.6432133376
108	0.6431274607
109	0.6430660883
110	0.6429945613
111	0.6428408359
112	0.6428017436
113	0.6427054127
114	0.6426511032
115	0.6426035057
116	0.6425711645
117	0.6425607619
118	0.6425477737
119	0.6425183602
120	0.6424313342
121	0.6422378662
122	0.6421776476
123	0.6421321228
124	0.6420331797
125	0.6418660506
126	0.6417498176
127	0.6415837579
128	0.6414776906
129	0.6413624117
130	0.6413067928
131	0.6412447846
132	0.6411348416
133	0.6409801002
134	0.64088766
135	0.6407773269
136	0.6406754127
137	0.6406293472
138	0.6405812558
139	0.6404169353
140	0.640380605
141	0.6403650006
142	0.6403010808
143	0.640269346
144	0.6400382424
145	0.6399481284
146	0.6398287749
147	0.6398266223
148	0.639790124
149	0.6396420304
150	0.6396089217
151	0.6394012608
152	0.6393368407
153	0.6393151096
154	0.6392550172
155	0.6391353444
156	0.6390543831
157	0.6389717215
158	0.6388432525
159	0.6387690997
160	0.6386511
161	0.6385896777
162	0.6385125327
163	0.6384917644
164	0.6383874168
165	0.6383669936
166	0.6382056054
167	0.6380965595
168	0.6380191812
169	0.6380055606
170	0.6378738326
171	0.6377462295
172	0.6375802628
173	0.6374783892
174	0.6374515336
175	0.6374040436
176	0.6372957062
177	0.6371852159
178	0.6371230458
179	0.6369918308
180	0.6369703116
181	0.6369198323
182	0.6369111257
183	0.6369013733
184	0.6368435542
185	0.6367244557
186	0.636550654
187	0.6364518924
188	0.6364239493
189	0.6363746643
190	0.6361522655
191	0.6360130435
192	0.6359338881
193	0.635813288
194	0.6356686874
195	0.6356416461
196	0.635588259
197	0.635439287
198	0.6353474057
199	0.6351670393
200	0.6350849324
201	0.6348904892
202	0.6348433689
203	0.6347253837
204	0.6346452033
205	0.6345065882
206	0.6343245655
207	0.6341955108
208	0.6340753318
209	0.6340613243
210	0.6339300444
211	0.6337891295
212	0.6336973917
213	0.6336420586
214	0.6335858833
215	0.6335467095
216	0.633459837
217	0.6334143785
218	0.6333273606
219	0.6332113474
220	0.6331742976
221	0.633142801
222	0.6330200924
223	0.6329103778
224	0.6328159575
225	0.6326520742
226	0.6324919944
227	0.6324105731
228	0.6322780801
229	0.6322221886
230	0.6320634651
231	0.6320453308
232	0.6319797266
233	0.6318423876
234	0.6316953719
235	0.6316506811
236	0.6315561178
237	0.6314358334
238	0.6312364145
239	0.6311128439
240	0.6309662174
241	0.6308888439
242	0.6307891982
243	0.6306496726
244	0.6305332011
245	0.6304746533
246	0.6303160477
247	0.6301558324
248	0.6299513815
249	0.6298617323
250	0.6296594654
251	0.6296249658
252	0.6295504814
253	0.6295163824
254	0.629424139
255	0.6292996213
256	0.6292250693
257	0.629101739
258	0.6290939735
259	0.6290322109
260	0.6290259972
261	0.6289429349
262	0.6287628628
263	0.628582188
264	0.6285252322
265	0.6283660587
266	0.628337191
267	0.6282726337
268	0.6281354464
269	0.6280116385
270	0.6278679901
271	0.6277167341
272	0.6276981888
273	0.6276245346
274	0.6276053023
