iter	Passed	Remaining
0	236	235772
1	263	131562
2	287	95539
3	305	76003
4	330	65716
5	364	60385
6	409	58108
7	516	64074
8	560	61732
9	583	57758
10	654	58846
11	687	56618
12	726	55179
13	759	53508
14	799	52505
15	822	50555
16	843	48800
17	868	47395
18	895	46232
19	931	45639
20	967	45089
21	987	43883
22	1006	42740
23	1039	42258
24	1083	42256
25	1127	42254
26	1186	42761
27	1216	42241
28	1246	41730
29	1288	41653
30	1331	41625
31	1359	41123
32	1391	40764
33	1411	40100
34	1433	39531
35	1466	39277
36	1487	38723
37	1528	38699
38	1559	38428
39	1589	38137
40	1635	38252
41	1683	38400
42	1721	38312
43	1769	38442
44	1815	38534
45	1857	38530
46	1899	38505
47	1922	38132
48	1958	38013
49	1984	37710
50	2028	37748
51	2058	37519
52	2101	37552
53	2132	37365
54	2157	37061
55	2185	36843
56	2212	36596
57	2247	36501
58	2268	36173
59	2292	35920
60	2316	35654
61	2350	35567
62	2375	35326
63	2420	35405
64	2450	35249
65	2493	35291
66	2524	35148
67	2562	35127
68	2609	35205
69	2646	35165
70	2693	35247
71	2723	35105
72	2770	35181
73	2845	35601
74	2889	35636
75	2922	35537
76	2968	35581
77	3024	35753
78	3080	35918
79	3109	35764
80	3136	35590
81	3170	35489
82	3222	35603
83	3397	37046
84	3459	37245
85	3537	37593
86	3599	37778
87	3647	37805
88	3688	37751
89	3750	37918
90	3793	37892
91	3829	37797
92	3865	37702
93	3900	37595
94	3930	37445
95	4008	37742
96	4094	38113
97	4168	38371
98	4218	38389
99	4288	38594
100	4326	38512
101	4362	38407
102	4411	38418
103	4459	38424
104	4520	38534
105	4577	38609
106	4607	38449
107	4646	38373
108	4679	38252
109	4731	38279
110	4788	38347
111	4845	38419
112	4880	38312
113	4915	38204
114	4947	38073
115	4972	37891
116	5005	37772
117	5045	37716
118	5107	37812
119	5149	37761
120	5171	37571
121	5213	37521
122	5256	37482
123	5313	37540
124	5339	37374
125	5379	37318
126	5405	37155
127	5430	36996
128	5455	36836
129	5479	36673
130	5502	36498
131	5543	36452
132	5582	36388
133	5638	36442
134	5679	36391
135	5706	36256
136	5729	36090
137	5760	35983
138	5802	35944
139	5829	35812
140	5870	35765
141	5907	35694
142	5948	35649
143	5991	35616
144	6023	35515
145	6057	35429
146	6128	35562
147	6158	35453
148	6212	35484
149	6264	35498
150	6340	35651
151	6383	35612
152	6411	35492
153	6449	35431
154	6478	35317
155	6511	35229
156	6546	35149
157	6579	35063
158	6622	35026
159	6642	34873
160	6677	34796
161	6711	34719
162	6749	34657
163	6777	34549
164	6808	34454
165	6854	34436
166	6884	34337
167	6916	34253
168	6949	34172
169	6998	34171
170	7041	34136
171	7091	34137
172	7123	34053
173	7166	34022
174	7197	33929
175	7225	33828
176	7258	33750
177	7330	33853
178	7362	33767
179	7408	33751
180	7460	33758
181	7496	33694
182	7526	33603
